variable,count,mean,std,min,25%,50%,75%,max,skewness
row_id,2746558.0,1367818.7276787893,789691.789558645,0.0,683935.25,1367795.5,2051729.75,2735615.0,7.4770844774931395e-06
commission_year,2746558.0,2013.9999912617902,1.000000182007909,2013.0,2013.0,2013.0,2015.0,2015.0,1.747642907230838e-05
asset_age_years,2746558.0,10.501475331987663,1.3227349526514984,8.002737850787133,9.501026694045176,10.501026694045176,11.503764544832306,12.999315537303216,-0.0004931610813050303
hours_since_maint,2746558.0,920.2461677488697,614.3946474477614,-16.5,385.5,839.0,1416.0,2483.5,0.3273856597734113
cumulative_op_hours,2746558.0,10898.838730330835,6864.281793882944,0.0,4754.0,10549.0,16781.0,24338.5,0.15648728121026403
bearing_temperature,2712482.0,67.39773406629297,19.82829256692703,-189.5288731605219,54.33374454358987,71.02064544815056,80.64516328754816,320.3418097994218,-0.3483018174743408
rpm,2712312.0,2883.959399309659,1250.832051856853,-13683.005506558757,1512.2765475397878,3111.117554106765,3763.1493793309482,18130.644332988453,-0.6067318196674838
vibration,2712335.0,2.39348223922737,0.8567217155951299,-10.021548835143289,2.0999797172573316,2.3941926455883555,2.7303966339074983,14.447944128072727,-0.5656768154393828
overall_vibration,2712416.0,2.812549954931394,1.0348550391476519,-11.570228732146877,2.4677721927710143,2.8362325916703552,3.2359916821626653,17.18122789458949,-0.5198857967732367
motor_current,2712344.0,272.5116731907954,122.911552999433,-1382.0316509517677,183.20937614608005,286.00785160125145,371.082932584517,1819.234715870601,-0.39131965178199996
oil_pressure,2712240.0,17.27532316855865,7.433805785815975,-83.99523760077602,12.624701354859578,17.76773400783342,22.869921025425064,111.69378803525704,-0.48066925568386093
oil_particles_ppm,2712432.0,22.36557059666178,15.986744926902192,-180.4899039136565,13.165487811707846,18.684502417146255,27.271939692718693,256.8272173132634,1.2874143668702878
bearing_index,2712379.0,96.15212719053682,4.905207262415527,8.402971694889956,94.89875300599542,97.15642919471352,98.76291011389608,158.21995683750572,-1.753166466055826
discharge_pressure,2712389.0,19.39468392643587,8.134400079128682,-92.16127884575631,13.803911902910594,20.097633813885132,25.680116014920557,121.3104682897808,-0.45987451398495177
feed_gas_pressure,2712529.0,67.27610543240785,17.416527731814433,-190.09695187663075,68.63550451792084,69.97617105220438,71.27843547832234,280.2772793054895,-2.6676189219239292
lng_output_tph,2712498.0,189.04492434103273,49.965965534867266,-562.7388291282482,187.63632814112788,197.54191008879602,206.6250448287398,806.8258794959453,-2.5192444473775453
ambient_temperature,2712296.0,28.45052248877803,3.46803518377048,-17.595669014477718,26.156435631456755,28.45369224421257,30.81495620394996,73.4660035817522,-0.028960078701851053
load_factor,2746558.0,0.8860270685724105,0.20168194479084683,0.0,0.8952138098553218,0.9278382491197844,0.9583536973404386,1.06,-3.9998978733608257
rul_days,2182556.0,106.50170706769188,66.70967552993784,0.0,40.833333333333336,108.60416666666669,180.0,180.0,-0.15559161924568407
failure_within_24h,2746558.0,0.0059124911980740985,0.07666508844233465,0.0,0.0,0.0,0.0,1.0,12.889514083337138
failure_within_72h,2746558.0,0.017128347553556123,0.1297496566204362,0.0,0.0,0.0,0.0,1.0,7.443133440865358
failure_within_7d,2746558.0,0.03853878199550128,0.19249300706444175,0.0,0.0,0.0,0.0,1.0,4.794579928599713
wear_level,2746558.0,0.0897086461552809,0.08462620218697028,0.0017825947198613,0.03651877674216895,0.06414957952192625,0.10533282181660464,0.6744597692965957,2.17624300394227
failure_rate,2746558.0,0.00026331451862727877,0.00021393945536006502,0.0001170577612899,0.0001684041032229,0.0002048716777678,0.000264010647007,0.0050031655167384,5.688423708936475
lubrication_health_index,2746558.0,91.45973688601725,8.05641444819957,35.7914299629641,89.97231536305924,93.89296002951261,96.52341245414551,99.8302969826692,-2.17624300394227
production_efficiency,2746558.0,96.99052632612171,1.8956269289881342,83.89210116775625,96.64054479130806,97.56304941870886,98.18197940097542,98.9600698782751,-2.176243003942276
quality_factor,2746558.0,1.0848129692923782,0.20790155128660612,0.6836332990691709,0.9346385955740114,1.0506083253435257,1.234930038381118,1.563852809024788,0.32101019114672696
